iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,6.3720927238464355,-46.228621205417255,10.46318127605892,0.612127333018747,-69.20332257964364,0.0,0.09856119456217957,0.01,0.031514644622802734,0.10152077674865723,0.0049050227,0.10276183,-46.228621205417255,-0.19717069153809866,-0.46241767032809633,0.0,2510,0.36554598808288574,0.9998483574180059,0.3186764415823608,2510,-25.38742321740919,0.0
1,6.622265100479126,-46.616818574880284,9.093575067508295,0.7277316143708621,-70.05420356031478,0.0,0.12166548336547253,0.01,0.004999399185180664,0.10851573944091797,0.0051901033,0.08150836,-46.26744094236356,-0.19739108943805297,-0.46628947750660377,0.0,2547,0.43520617485046387,0.3155709311226256,0.20996211112667712,5057,-25.87697980435164,0.0
2,6.618298292160034,-47.978149167097634,8.328515674297265,-3.9668459125193083,-69.4364621203802,0.0,0.1267112407955085,0.01,0.00599980354309082,0.11252355575561523,0.0049576694,0.07691886,-46.43851176483696,-0.20283007640381595,-0.47992421165831456,0.0,2549,0.42438483238220215,0.21043359060342431,0.09155908608041861,7606,-25.821182255065224,0.0
3,7.638342618942261,-46.14875491624514,9.867052389015619,-0.24137678176349542,-67.1615392003736,0.0,0.12720869873956966,0.01,0.005998849868774414,0.11351633071899414,0.0054376824,0.080306984,-46.409536079977784,-0.19552611583441654,-0.4616199798626175,0.0,2525,0.377612829208374,0.09557041486444513,0.04242514317499101,10131,-25.26686076030399,0.0
4,6.056729316711426,-45.95152958127225,8.288029779953257,-14.62014749008042,-66.8532248859121,0.0,0.12572818939570857,0.01,0.006000518798828125,0.11951684951782227,0.004948019,0.07929157,-46.363735430107226,-0.1920715427774649,-0.4596951281713541,0.0,2560,0.4797074794769287,0.037662511642801905,0.03306002874656844,12691,-25.19874351820668,0.0
5,6.259098529815674,-46.36137553635647,8.246767187297323,0.5609501534464144,-66.21591118608575,0.0,0.12390151867507361,0.01,0.008005142211914062,0.13303470611572266,0.0051061627,0.086375676,-46.363499440732156,-0.1947129884398523,-0.463719865218781,0.0,2547,0.40558624267578125,0.029108777178799526,0.027424541522950804,15238,-25.617462495272747,0.0
6,8.320329189300537,-44.43299596582857,10.05988139890761,0.565873385744776,-66.31930298418929,0.0,0.1347503738125352,0.01,0.003999471664428711,0.10877108573913574,0.005173992,0.08341921,-46.17044909324179,-0.1872106510371434,-0.4445208945391485,0.0,2524,0.5295639038085938,0.042900117091277855,0.039158195388634534,17762,-25.658395595429777,0.0
7,6.574622631072998,-45.94739271970042,8.045569409319652,-0.5242179311930253,-60.975476464305856,0.0,0.12441375128531251,0.01,0.004998922348022461,0.0955195426940918,0.005002337,0.08669006,-46.148143455887656,-0.1927356290848321,-0.4595990379474303,0.0,2548,0.3986506462097168,0.029145853085408388,0.0266378803685333,20310,-25.61436544462971,0.0
8,6.3870766162872314,-44.62256243467998,9.483362646209601,0.4649325937862404,-62.19920251383347,0.0,0.13033788236649274,0.01,0.004998683929443359,0.0985109806060791,0.005052441,0.09004597,-45.99558535376689,-0.188726541665375,-0.4463153857614882,0.0,2533,0.37656259536743164,0.033321157330016095,0.0310813060384925,22843,-25.60957410830651,0.0
9,6.151183366775513,-43.84073494078903,8.733281616308519,0.4768294732428513,-66.66163524259574,0.0,0.1255168074782497,0.01,0.00600123405456543,0.12752008438110352,0.005134466,0.086884044,-45.78010031246911,-0.18246759112670477,-0.43853750992469936,0.0,2547,0.46857309341430664,0.03219199451365842,0.03071098881829447,25390,-25.337857312741512,0.0
10,6.741461992263794,-43.39528105540759,8.585593989263307,0.41132828565055646,-62.6962038982829,0.0,0.13631952479183018,0.01,0.006516933441162109,0.11153602600097656,0.005085777,0.07776264,-45.541618386762956,-0.17910732105687246,-0.43404914068834133,0.0,2547,0.4975314140319824,0.03227360051414932,0.03093003492658918,27937,-25.394417255251003,0.0
11,7.1719114780426025,-42.87052061358364,7.987954812037953,-18.073052017769452,-64.52407420048628,0.0,0.13461294992105854,0.01,0.008374691009521484,0.1366734504699707,0.0050457423,0.076987155,-45.27450860944503,-0.17702989811654377,-0.4288769473215154,0.0,2560,0.4442620277404785,0.03159071542391119,0.030425182113709225,30497,-25.20791540828968,0.0
12,6.112240791320801,-41.947836942740295,10.474036975335856,0.228722106743957,-60.54254903768807,0.0,0.13698909314734542,0.01,0.0030007362365722656,0.09351825714111328,0.005145438,0.08625266,-44.94184144277455,-0.17495326421075613,-0.41958264606296297,0.0,2515,0.34965014457702637,0.04452077297261859,0.04265992778155796,33012,-25.24405868158888,0.0
13,6.511695146560669,-41.44341696456243,10.168114273149667,0.6271974293954159,-61.74091653367922,0.0,0.14197981355335773,0.01,0.005001544952392578,0.12413644790649414,0.005256063,0.07925108,-44.59199899495334,-0.17264855325913225,-0.4145797567366297,0.0,2495,0.42294788360595703,0.03782163404103194,0.03668558442614302,35507,-25.3158691627387,0.0
14,6.465014219284058,-42.58177195141955,8.734038609906762,0.8368839630470905,-56.727314671297904,0.0,0.1387545339671094,0.01,0.004998207092285156,0.09151339530944824,0.0051472397,0.07987939,-44.390976290599966,-0.17541479974846622,-0.42599785037555904,0.0,2538,0.36081910133361816,0.03299217882532025,0.03204494948348546,38045,-25.510929057562514,0.0
15,6.626252174377441,-40.50942118915539,9.648028938012871,0.8966473358700382,-56.14346800271119,0.0,0.13984695991607796,0.01,0.005998849868774414,0.12156152725219727,0.005104983,0.07892808,-44.00282078045551,-0.16720663788526835,-0.4052264500208057,0.0,2534,0.4457261562347412,0.04246844600125622,0.039060566544194424,40579,-25.200154636647106,0.0
16,6.307033061981201,-41.213193997272356,10.520386130322978,0.41528637030927973,-65.42324013671445,0.0,0.1378828708778642,0.01,0.005999565124511719,0.14106392860412598,0.005043815,0.080136165,-43.72385810213719,-0.17041228768799926,-0.4122406828749218,0.0,2523,0.4237644672393799,0.044065418333440846,0.04223410168545888,43102,-25.15619599808701,0.0
17,6.579587936401367,-40.86319121164057,8.583008177570198,0.5028383826688256,-55.54379421456739,0.0,0.13522392173944395,0.01,0.007998943328857422,0.13057899475097656,0.0051515303,0.080509946,-43.43779141308753,-0.1667876538045491,-0.4087892497014245,0.0,2547,0.39759349822998047,0.03435928219129088,0.033073409699707575,45649,-25.12648355197522,0.0
18,6.683046102523804,-39.552186611744006,9.810835170929495,-0.38388714755266395,-59.347643177548186,0.0,0.1430154477535766,0.01,0.00500035285949707,0.11251616477966309,0.0051060766,0.0744106,-43.04923093295318,-0.16211417398849756,-0.3956796668681797,0.0,2537,0.38791704177856445,0.04659874697800215,0.04457813955559501,48186,-25.145038861472365,0.0
19,5.783411026000977,-38.961075870393486,9.868512028891837,0.37656497811285317,-63.755041673556434,0.0,0.14550656557935449,0.01,0.0050008296966552734,0.1194756031036377,0.0049662567,0.075932875,-42.64041542669721,-0.15960625585598215,-0.38974280409012085,0.0,2522,0.3515923023223877,0.04198208201048601,0.04057718894231344,50708,-25.28206047390993,0.0
20,5.7064995765686035,-37.88379884821202,11.453970011924632,0.552652169741799,-62.57695804612439,0.0,0.14383058090284156,0.01,0.005001544952392578,0.09151840209960938,0.0050913654,0.07473755,-42.16475376884869,-0.1568556700919489,-0.37897789548752864,0.0,2496,0.3805980682373047,0.0586962026264466,0.0567745479892589,53204,-25.124365089726062,0.0
