iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,7.868706464767456,-36.273100480115076,9.263288953543642,-9.281211977165242,-63.19671985565815,0.0,0.35133320994745687,0.01,0.03208637237548828,0.12674307823181152,0.004474009,0.02854708,-36.273100480115076,-0.1720802682523738,-0.3628495512872968,0.0,3380,0.4955015182495117,1.002190235630673,0.2924600663151515,3380,-21.91603095218698,0.0
1,7.171511173248291,-34.99160530351386,9.235979816422239,-9.403858243106484,-52.57366702873546,0.0,0.3469363815343539,0.01,0.006000518798828125,0.08963418006896973,0.0039751003,0.02573125,-36.144950962454956,-0.16452337503615433,-0.3500340988509947,0.0,3380,0.44642019271850586,0.28253614934115534,0.22943016980150852,6760,-21.362444471492985,0.0
2,7.202187538146973,-34.42743775018129,8.322336955772435,-11.637672564538265,-55.0423898392185,0.0,0.3868815245317562,0.01,0.006000518798828125,0.09257984161376953,0.005829908,0.028504668,-35.973199641227595,-0.15957508695904196,-0.344358706406449,0.0,3380,0.4359591007232666,0.22761079315899976,0.22274803625771566,10140,-20.923466573552393,0.0
3,7.243771553039551,-33.60903729835585,9.519621577500205,-9.070170806138712,-54.85139910685644,0.0,0.35816482378087294,0.01,0.005001068115234375,0.11455655097961426,0.0065227696,0.03206942,-35.73678340694042,-0.1554405023286763,-0.33616815505993647,0.0,3380,0.4361879825592041,0.23330327119270994,0.22836665784746157,13520,-21.062560437938483,0.0
4,7.146118402481079,-34.28147581040363,9.46151246459317,-6.5440419508409855,-58.76017974760916,0.0,0.2924452362101558,0.01,0.003999948501586914,0.08961677551269531,0.005989243,0.038155917,-35.591252647286744,-0.15920277214007114,-0.34291238497761417,0.0,3380,0.42037129402160645,0.22870610716100132,0.222745307542991,16900,-21.123616466613367,0.0
5,7.29379940032959,-33.2384951538991,9.206946421234015,-8.057203673636925,-67.75071221330987,0.0,0.2789009229254447,0.01,0.004997968673706055,0.09051799774169922,0.005809734,0.039013896,-35.35597689794798,-0.15312427439011445,-0.33249061884229686,0.0,3380,0.40900683403015137,0.2207269305929429,0.21299082635391858,20280,-21.191575652092734,0.0
6,7.22592568397522,-32.63331535616018,9.751867910158127,-7.96682745295321,-55.28684987780652,0.0,0.24093698720472226,0.01,0.006001949310302734,0.11556005477905273,0.0056753564,0.044785615,-35.0837107437692,-0.15034256134975355,-0.3265132441243037,0.0,3380,0.433269739151001,0.22561558014161967,0.21697890053811167,23660,-20.954724429452252,0.0
7,7.291769742965698,-32.18084477160322,9.510379883125308,-8.167324890574188,-52.78578071958936,0.0,0.21134571241367456,0.01,0.006002187728881836,0.09362983703613281,0.0056150425,0.05107972,-34.7934241465526,-0.14733618584264582,-0.3219120654531526,0.0,3380,0.4171903133392334,0.2137509378113508,0.20214252345469466,27040,-20.920539247332417,0.0
8,7.1708269119262695,-31.72659817178335,9.511758063787427,-10.048610800007747,-48.739259205929294,0.0,0.1895664391593977,0.01,0.005001068115234375,0.09235501289367676,0.0055344203,0.05566483,-34.486741549075674,-0.14495937878627999,-0.3173447522422424,0.0,3380,0.4221806526184082,0.2034634211775375,0.1855293971975141,30420,-21.082795247950294,0.0
9,7.1919591426849365,-32.04759299144873,9.204310260030333,-9.05745533505701,-50.87481668360622,0.0,0.19633656337830008,0.01,0.005000591278076172,0.09051012992858887,0.005436017,0.05385158,-34.24282669331298,-0.1460585774041172,-0.32060241688634133,0.0,3380,0.42823147773742676,0.1794755318838027,0.15251183587585382,33800,-20.938607210130993,0.0
10,7.243426561355591,-30.716627205413573,10.218143929219465,-6.969245085495637,-53.338947017607055,0.0,0.19190723602111345,0.01,0.006001949310302734,0.10738039016723633,0.005392992,0.054387037,-33.890206744523034,-0.14013337215803356,-0.307261250843031,0.0,3380,0.43474268913269043,0.1721400458405402,0.13635109704663836,37180,-20.920785468965242,0.0
11,7.119174242019653,-30.474579821329524,9.383600095362103,-7.62723421356783,-46.140045366074574,0.0,0.1984278848315636,0.01,0.004000186920166016,0.09808683395385742,0.005326377,0.05296281,-33.548644052203684,-0.13747766558408822,-0.30487917411295506,0.0,3380,0.4432215690612793,0.12501451480550205,0.08968439684717848,40560,-20.87207229550146,0.0
12,7.161591291427612,-30.09596408651079,9.61004542574581,-6.650084533458005,-49.56438443607078,0.0,0.18086267678398765,0.01,0.004999876022338867,0.09052062034606934,0.00533387,0.058049023,-33.20337605563439,-0.1350637298189925,-0.3010899354026813,0.0,3380,0.4421815872192383,0.100099762699422,0.07975821809751751,43940,-20.605129953108662,0.0
13,7.293131351470947,-29.809343637222707,9.10093281432249,-7.5388465613964,-51.232243939415156,0.0,0.20889216617197684,0.01,0.005458831787109375,0.10193920135498047,0.005280524,0.04964796,-32.863972813793225,-0.13356293411977777,-0.2982201132117926,0.0,3380,0.4132692813873291,0.07020712177006375,0.06291742913084497,47320,-20.347735247344264,0.0
14,7.1810901165008545,-29.73632181556573,8.950529958815197,-8.659550063535567,-48.45808929596885,0.0,0.20434141052641946,0.01,0.003999948501586914,0.08552098274230957,0.005314826,0.050267752,-32.55120771397048,-0.13266134852255707,-0.297486505947009,0.0,3380,0.4574317932128906,0.060224686421824485,0.056973384431126824,50700,-20.436142026075313,0.0
15,7.223370552062988,-29.293559277296755,9.291759898682608,-7.437774326864469,-45.96698858703798,0.0,0.21806616666937403,0.01,0.005141496658325195,0.09008383750915527,0.005304955,0.047813367,-32.225442870303105,-0.130329896713588,-0.2930222280920301,0.0,3380,0.4243321418762207,0.06256607770362227,0.06005705820380227,54080,-20.54471883739682,0.0
16,7.1711061000823975,-28.948567067044834,9.478955856285792,-7.090057757964002,-46.5337773343708,0.0,0.2122153460892017,0.01,0.004999637603759766,0.08851051330566406,0.0052680597,0.048933767,-31.89775528997728,-0.12892010572968907,-0.28967249364123154,0.0,3380,0.41043710708618164,0.06314262686119046,0.06062999619008244,57460,-20.699796718696366,0.0
17,7.2361674308776855,-28.662958586914023,9.577588264870334,-8.458837092813043,-45.38443024101824,0.0,0.22475460159079647,0.01,0.005002021789550781,0.1182260513305664,0.0052503212,0.045590136,-31.574275619670953,-0.12788447879778342,-0.28673169151686,0.0,3380,0.5255427360534668,0.06011104503010496,0.058150513798046664,60840,-20.766206570318126,0.0
18,7.186263561248779,-28.077324378452936,9.644076196407175,-6.78049866186053,-45.5500349506579,0.0,0.21049796044909827,0.01,0.006007671356201172,0.09151792526245117,0.005341479,0.04764026,-31.224580495549155,-0.12372439296063688,-0.28089663557132294,0.0,3380,0.5629966259002686,0.05451131876458847,0.052643494037210886,64220,-21.108271529180893,0.0
19,7.208549976348877,-28.2450862242728,9.80236676138098,-7.201267972841664,-46.71723712697268,0.0,0.20500741226182895,0.01,0.005008697509765625,0.09050488471984863,0.0054533514,0.047870878,-30.92663106842152,-0.12551545174660242,-0.28263256190972164,0.0,3380,0.4363999366760254,0.05835957287120482,0.05681453050763092,67600,-21.303265325645494,0.0
20,7.333900213241577,-28.568410740881422,9.571103374561106,-6.7473294416676435,-44.59082563783202,0.0,0.20267018307762732,0.01,0.005095720291137695,0.09703779220581055,0.005312797,0.049993716,-30.69080903566751,-0.12583701392354243,-0.28580071814358604,0.0,3380,0.457334041595459,0.0534671453672247,0.05173751146873057,70980,-21.31057483266371,0.0
21,7.167682409286499,-27.335853864698212,9.587169729876113,-7.234890404823115,-44.761244734662576,0.0,0.18113343822853065,0.01,0.006000995635986328,0.10921621322631836,0.0053737853,0.053582553,-30.355313518570583,-0.12073324606850729,-0.27346632617486244,0.0,3380,0.4153110980987549,0.05522088447893982,0.05151250045944094,74360,-21.35254758985171,0.0
