iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.7467856407165527,-6.173939719323823,0.4662217284426174,-5.364812094262982,-7.335232116577272,0.0,0.12704725885296717,0.1,0.03533935546875,0.0623784065246582,0.051210538,1.2124598,-6.173939719323823,-0.23724461523299908,-0.06174032389688369,0.0,400,0.2988619804382324,1.0252992593626735,0.24344139794479333,400,-4.7856484562799775,0.0
1,1.6498267650604248,-5.876971483637727,0.353596275022118,-5.216864232742618,-6.677022840202925,0.0,0.18915932691709375,0.1,0.004002809524536133,0.05489683151245117,0.05467361,0.57317364,-6.144242895755212,-0.21841458050914972,-0.05880269506004884,0.0,400,0.17081522941589355,0.2445874028723966,0.03786277313249051,800,-4.7725490926209275,0.0
2,1.788564920425415,-6.217301046520305,0.36913311490677003,-5.509076110712004,-7.084842393515726,0.0,0.18509455978747233,0.1,0.003530740737915039,0.058135032653808594,0.050043155,0.6279756,-6.1515487108317215,-0.24250890441727224,-0.06221344301053096,0.0,400,0.1988682746887207,0.04695257043605923,0.009371419874089423,1200,-4.784701824690276,0.0
3,1.8081531524658203,-6.113488443324679,0.5142015424329965,-5.162641456856703,-7.040454895768767,0.0,0.17426611131122202,0.1,0.0032541751861572266,0.07718896865844727,0.0495068,0.7480806,-6.147742684081017,-0.23534926906686146,-0.06115992921840031,0.0,400,0.18776154518127441,0.015453115386062234,0.011535297474869324,1600,-4.752569566924295,0.0
4,1.6029622554779053,-6.134419455317685,0.41663912987313445,-5.25608220904867,-6.9291280155446495,0.0,0.16529669212131726,0.1,0.0022509098052978516,0.05011606216430664,0.049239513,0.7176004,-6.146410361204683,-0.23674647825475337,-0.0613852451693919,0.0,400,0.15613150596618652,0.012927029326691247,0.009588351556098539,2000,-4.697221162016637,0.0
5,1.5793793201446533,-5.987805172685665,0.4071804590343954,-5.097860060364455,-6.652605457201325,0.0,0.17811520130012287,0.1,0.008534908294677734,0.061652421951293945,0.048394185,0.69972116,-6.1305498423527816,-0.22776516221219661,-0.059880051462015894,0.0,400,0.2034604549407959,0.013155114745553554,0.010822127342055794,2400,-4.695309562660915,0.0
6,1.5907859802246094,-5.9734909488432955,0.44532516285328233,-5.117553199651968,-7.025822820086792,0.0,0.18668832263375448,0.1,0.002248048782348633,0.05077624320983887,0.0526959,0.6624969,-6.114843953001833,-0.22564855799377348,-0.059774246413352376,0.0,400,0.16286921501159668,0.01539442007561655,0.010058181733495267,2800,-4.663271897624718,0.0
7,1.6275722980499268,-5.81070265811735,0.37334642351249714,-5.118644626679461,-6.367646769394981,0.0,0.1866023787847649,0.1,0.002999544143676758,0.04986763000488281,0.052161053,0.6257029,-6.084429823513385,-0.21577386287525535,-0.058171966105563175,0.0,400,0.15691661834716797,0.009709616284116256,0.0076310037142853695,3200,-4.650592369687419,0.0
8,1.615086555480957,-5.80215623394987,0.506651983193583,-4.893942583444807,-6.910575710052929,0.0,0.19372330045865466,0.1,0.0022559165954589844,0.05412650108337402,0.051814336,0.59805906,-6.056202464557034,-0.21514519491028927,-0.058006314911327204,0.0,400,0.15734314918518066,0.015882475561706338,0.011847553957717503,3600,-4.656284201781916,0.0
9,1.607424259185791,-5.640105738988265,0.3688889992040106,-5.007631724833468,-6.625038518907523,0.0,0.19841605294404144,0.1,0.002999544143676758,0.050879716873168945,0.050838687,0.57808375,-6.014592792000157,-0.20680430058691876,-0.05642267544138269,0.0,400,0.17623329162597656,0.010553415481994835,0.007123477119117209,4000,-4.605003971379881,0.0
10,1.5906405448913574,-5.497967157188209,0.28069455925009335,-4.866623088181445,-5.905415601380974,0.0,0.19153403459748733,0.1,0.0015048980712890625,0.050894737243652344,0.050282173,0.66888326,-5.962930228518963,-0.19685988342273564,-0.05503518401536307,0.0,400,0.1571965217590332,0.007818869085125297,0.005551058113110693,4400,-4.563867509836885,0.0
11,1.5873405933380127,-5.362188484430691,0.33812186747710143,-4.837559503526548,-6.344328850420301,0.0,0.19827370554246956,0.1,0.0030035972595214844,0.047388315200805664,0.051011343,0.69919723,-5.902856054110136,-0.18891319486991445,-0.053647006564212216,0.0,400,0.15661907196044922,0.0096667403791575,0.0069706324843142676,4800,-4.555618898937352,0.0
12,1.6037518978118896,-5.393848055105536,0.385512929522287,-4.858172992491665,-6.272956728812279,0.0,0.20834669452714466,0.1,0.0040132999420166016,0.05419611930847168,0.05153002,0.4820879,-5.851955254209676,-0.18979275093443804,-0.05397988292722399,0.0,400,0.18235158920288086,0.010856765106770557,0.008020354574285817,5200,-4.562146881284567,0.0
13,1.5522615909576416,-5.307228276889451,0.27910874581312717,-4.7336323374787,-6.032792263672086,0.0,0.19989056039804223,0.1,0.003006458282470703,0.06113171577453613,0.04926418,0.56453055,-5.797482556477653,-0.18560165832009354,-0.05307240437642888,0.0,400,0.16381454467773438,0.00946839052839885,0.00729673414319253,5600,-4.5658985582528855,0.0
14,1.5633013248443604,-5.45000819090941,0.35087441978501993,-4.962138278262039,-6.37593848797625,0.0,0.20318412205408756,0.1,0.0025093555450439453,0.04984474182128906,0.049727783,0.6010893,-5.762735119920828,-0.1924423125247906,-0.05451064477121417,0.0,400,0.1563551425933838,0.009668659633998803,0.007044864043437706,6000,-4.548138924305219,0.0
15,1.6568725109100342,-5.360543358531854,0.30458889682461776,-4.860592055334132,-6.1631445537346865,0.0,0.20228966597846323,0.1,0.0032606124877929688,0.05158281326293945,0.050034814,0.6162083,-5.72251594378193,-0.1889128450934863,-0.05360495747530801,0.0,400,0.1591625213623047,0.008360924572794642,0.006078124342563546,6400,-4.571602207285396,0.0
16,1.5824534893035889,-5.2702774966729695,0.33040189755282695,-4.725966049208015,-5.973412121869397,0.0,0.19591122088324422,0.1,0.002250194549560547,0.04983854293823242,0.049727116,0.56399906,-5.6772920990710345,-0.18459729799466865,-0.052741001382004084,0.0,400,0.16083788871765137,0.010518371165099995,0.0071199215352749584,6800,-4.570019896881916,0.0
17,1.6152143478393555,-5.291860790716907,0.24338007788933194,-4.930797306951954,-5.889600772879441,0.0,0.20626477175397312,0.1,0.0017621517181396484,0.054418087005615234,0.050045557,0.5407498,-5.638748968235622,-0.1858598449607991,-0.052963822882437166,0.0,400,0.16009807586669922,0.007614678136022278,0.005250405328203106,7200,-4.561386261961178,0.0
18,1.5967557430267334,-5.300563163240343,0.29348624072713797,-4.826271467183711,-5.939519335102755,0.0,0.20006826079121642,0.1,0.0030105113983154297,0.04909110069274902,0.050283846,0.49808085,-5.604930387736094,-0.18568635675870981,-0.05304105291243579,0.0,400,0.15943622589111328,0.008000968228449947,0.0061005442757211936,7600,-4.557923567973269,0.0
19,1.674067735671997,-5.215126438966149,0.27286815630302635,-4.802669058492972,-5.930517174456355,0.0,0.20117130844068742,0.1,0.00225067138671875,0.05468249320983887,0.051228255,0.60543936,-5.5659499928591,-0.1821462394778301,-0.052196541205161144,0.0,400,0.15678739547729492,0.006412637629059359,0.004546428530713802,8000,-4.537474731469891,0.0
20,1.5380158424377441,-5.195904736928925,0.2916028443874162,-4.780338993765932,-5.908863216588648,0.0,0.22125454475245393,0.1,0.002249479293823242,0.050864219665527344,0.050170563,0.49041167,-5.528945467266082,-0.17691916197542074,-0.05203504460945692,0.0,400,0.16413331031799316,0.007186629036269224,0.005581393432274784,8400,-4.494968981785741,0.0
21,1.6452722549438477,-5.27584771245075,0.32111291906796924,-4.815043442131302,-5.980855649604541,0.0,0.22272341565159245,0.1,0.003003835678100586,0.05489659309387207,0.05071957,0.4710479,-5.503635691784549,-0.1846437061855263,-0.052803722594781125,0.0,400,0.18897247314453125,0.009584314174177943,0.005872326640866681,8800,-4.505485242357565,0.0
22,1.5741965770721436,-5.295711004762447,0.26052775800460326,-4.849553049050788,-5.916581171553155,0.0,0.2217721429589367,0.1,0.002997159957885742,0.05144357681274414,0.05009995,0.47687486,-5.482843223082339,-0.18441320250421117,-0.05300152656433399,0.0,400,0.15919756889343262,0.006913574456920008,0.005117721402505921,9200,-4.547074656547198,0.0
23,1.5754165649414062,-5.2668269055432395,0.3511155005143316,-4.8330507951074555,-6.495058203917258,0.0,0.220706096285399,0.1,0.003263235092163086,0.05790424346923828,0.04989388,0.44919464,-5.461241591328429,-0.18569108132798143,-0.05274333667894866,0.0,400,0.17647337913513184,0.014843892278071305,0.010782289682372072,9600,-4.565648906661832,0.0
24,1.5411522388458252,-5.055834508434692,0.23726695879615967,-4.711235400527465,-5.938910382436354,0.0,0.22294832890534141,0.1,0.003004789352416992,0.04855847358703613,0.05050523,0.5248506,-5.420700883039055,-0.17106777811517063,-0.05062869133496498,0.0,400,0.1605231761932373,0.008435512309734031,0.005372326138923083,10000,-4.574314800215091,0.0
25,1.583298683166504,-5.080601170589622,0.21458746464447315,-4.8458268825221955,-5.741291501005371,0.0,0.23025553981789126,0.1,0.0030057430267333984,0.06216144561767578,0.050158292,0.43726945,-5.386690911794112,-0.1719504460050873,-0.0508364771747699,0.0,400,0.24233317375183105,0.006908462511095486,0.004674599414239027,10400,-4.564366290788437,0.0
26,1.5774965286254883,-5.119377573102173,0.23022837344761338,-4.746767762376025,-5.664139382697912,0.0,0.23412523064110385,0.1,0.003000497817993164,0.05463433265686035,0.050575238,0.43269157,-5.3599595779249185,-0.17383757785243883,-0.05122607637750312,0.0,400,0.18523097038269043,0.007406913241413545,0.005275797387973189,10800,-4.550532113433914,0.0
27,1.5460608005523682,-5.029669130998625,0.22591170627768772,-4.726304176228761,-5.654806639225027,0.0,0.21914401988432372,0.1,0.0030252933502197266,0.05968880653381348,0.05145288,0.4546475,-5.326930533232289,-0.16983013450323992,-0.05036185695684898,0.0,400,0.16806840896606445,0.007397632514040298,0.004627501860417329,11200,-4.536959183632065,0.0
28,1.5641355514526367,-5.111036292424281,0.293099703148803,-4.649893776395257,-5.8823003097399535,0.0,0.22176402976539994,0.1,0.0025043487548828125,0.049924373626708984,0.05099428,0.4867002,-5.305341109151489,-0.17411654098572385,-0.05116169925824482,0.0,400,0.16247272491455078,0.009336038207726164,0.006561919987726321,11600,-4.528774313824406,0.0
29,1.5885329246520996,-4.989545647565879,0.16144577426484802,-4.766443534854185,-5.484824460929653,0.0,0.22279661477094842,0.1,0.0022611618041992188,0.05224871635437012,0.04999539,0.5084728,-5.273761562992928,-0.16653210998706833,-0.04996345685488307,0.0,400,0.16016268730163574,0.007878255412958413,0.004937464736877808,12000,-4.524487349326707,0.0
30,1.5649192333221436,-5.067467121999541,0.22073603342749265,-4.650641127501037,-5.445634557010477,0.0,0.22903709933771396,0.1,0.003014087677001953,0.053887128829956055,0.05005436,0.48141533,-5.253132118893589,-0.17033334074686798,-0.05073619126806775,0.0,400,0.15940284729003906,0.007937067575917741,0.004058692356125063,12400,-4.5486930869036994,0.0
31,1.5732743740081787,-5.015390701207946,0.23567611716505824,-4.716577182300746,-5.744957684669414,0.0,0.22111137579614348,0.1,0.002999544143676758,0.050373077392578125,0.050878454,0.44243553,-5.229357977125025,-0.17011024038414785,-0.050212619550720025,0.0,400,0.15329623222351074,0.007282298464668169,0.0045768295559942525,12800,-4.578425505468916,0.0
32,1.59165620803833,-4.960435453396617,0.17708309270514921,-4.64107132443979,-5.3692770761599755,0.0,0.22655294880694477,0.1,0.0029993057250976562,0.05374503135681152,0.050814852,0.49495286,-5.202465724752184,-0.16710255321124948,-0.04965256345911814,0.0,400,0.16087794303894043,0.00496236802428098,0.003452991120449045,13200,-4.5500414669742355,0.0
33,1.6485440731048584,-4.9711052585110584,0.1777266226585773,-4.679460813220456,-5.480873027676182,0.0,0.22049363195465863,0.1,0.0022525787353515625,0.05237174034118652,0.050338607,0.5630285,-5.179329678128071,-0.16393535852597896,-0.04977564539208824,0.0,400,0.15369796752929688,0.0059618189427159424,0.0038348568443856224,13600,-4.512481629738514,0.0
34,1.6145975589752197,-4.995150105717097,0.19547456391342205,-4.6202991632480614,-5.5638965731240235,0.0,0.2167201227523199,0.1,0.0032622814178466797,0.05349898338317871,0.0506156,0.5213043,-5.160911720886974,-0.16880284057384717,-0.05002587773764044,0.0,400,0.18511509895324707,0.006882610638881399,0.003680662397525025,14000,-4.4798996865850835,0.0
